Date,Arizona,California,Florida,Illinois,Michigan,New York,Texas,Colorado
2012-05-01,1.0755017593356264,1.3432209023651742,1.102779331736498,1.1101259453331576,0.6539276139719647,1.7152773476239902,0.9340644153437905,1.4501798201820302
2012-06-01,1.0755017593356264,1.3025286562346166,1.0611868163436078,1.1101259453331576,0.6539276139719647,1.7152773476239902,0.8565248635704393,1.4501798201820302
2012-07-01,0.9776671078230998,1.261836410104059,1.0195943009507176,1.1101259453331576,0.6539276139719647,1.64924635366805,0.7789853117970889,1.3963402118700128
2012-08-01,0.9287497820668357,1.1804519178429427,0.9780017855578271,1.1101259453331576,0.6156281658651469,1.5832153597121097,0.7014457600237377,1.3425006035579947
2012-09-01,0.8798324563105724,1.0990674255818271,0.9364092701649369,1.05913993551135,0.6156281658651469,1.5171843657561694,0.6239062082503872,1.2886609952459773
2012-10-01,0.8309151305543091,1.0583751794512695,0.8532242393791555,1.1101259453331576,0.5773287177583292,1.4511533718002292,0.6239062082503872,1.2886609952459773
2012-11-01,0.7819978047980458,1.0176829333207116,0.8532242393791555,1.1101259453331576,0.5773287177583292,1.3851223778442878,0.6239062082503872,1.2348213869339595
2012-12-01,0.7819978047980458,0.9769906871901533,0.8116317239862653,1.1611119551549653,0.6156281658651469,1.3851223778442878,0.6239062082503872,1.180981778621942
2013-01-01,0.7819978047980458,0.9362984410595955,0.7700392085933749,1.212097964976773,0.6156281658651469,1.3190913838883476,0.6239062082503872,1.1271421703099245
2013-02-01,0.7819978047980458,0.85491394879848,0.7284466932004843,1.2630839747985814,0.6156281658651469,1.3190913838883476,0.6239062082503872,1.0733025619979066
2013-03-01,0.7819978047980458,0.8142217026679223,0.6452616624147033,1.2630839747985814,0.5773287177583292,1.2530603899324073,0.6239062082503872,1.0194629536858892
2013-04-01,0.7819978047980458,0.7735294565373638,0.603669147021813,1.212097964976773,0.5390292696515114,1.187029395976467,0.6239062082503872,0.9656233453738713
2013-05-01,0.7330804790417821,0.732837210406806,0.5620766316289226,1.212097964976773,0.5390292696515114,1.1209984020205261,0.5463666564770366,0.9656233453738713
2013-06-01,0.7330804790417821,0.6921449642762484,0.520484116236032,1.1611119551549653,0.5007298215446936,1.1209984020205261,0.4688271047036855,0.9117837370618539
2013-07-01,0.7330804790417821,0.6514527181456906,0.4788916008431417,1.1611119551549653,0.5007298215446936,1.0549674080645859,0.4688271047036855,0.8579441287498364
2013-08-01,0.6841631532855188,0.610760472015133,0.3957065700573607,1.1611119551549653,0.5007298215446936,1.0549674080645859,0.391287552930335,0.8041045204378185
2013-09-01,0.6841631532855188,0.5700682258845744,0.3541140546644704,1.1101259453331576,0.46243037343787513,0.9889364141086451,0.3137480011569838,0.6964253038137831
2013-10-01,0.6352458275292551,0.5293759797540167,0.3125215392715797,1.0081539256895424,0.4241309253310574,0.8568744261967646,0.23620844938363333,0.5887460871897483
2013-11-01,0.5863285017729918,0.44799148749290124,0.27092902387868945,0.9571679158677339,0.3475320291174218,0.7908434322408238,0.15866889761028283,0.5349064788777304
